Date,Crimes
2003-01-01,1.02002848936032
2003-01-02,1.2266318317226619
2003-01-03,1.0740991442077095
2003-01-04,0.9533672871465578
2003-01-05,0.9643969365639038
2003-01-06,0.9774065964886212
2003-01-07,0.9947737810956954
2003-01-08,0.9789177224362424
2003-01-09,0.9646937189941763
2003-01-10,0.9762662644396484
2003-01-11,0.9892994449354658
2003-01-12,1.0270799103331205
2003-01-13,1.0212407844136744
2003-01-14,1.0125409019890403
2003-01-15,0.9976968607274642
2003-01-16,1.0554857650608758
2003-01-17,0.992042936271624
2003-01-18,0.9910464560266573
2003-01-19,1.0200491861149705
2003-01-20,1.0051974670476367
2003-01-21,1.0092305959397723
2003-01-22,1.018203147984939
2003-01-23,0.9940119938823277
2003-01-24,1.0008667724440743
2003-01-25,0.9576163330839782
2003-01-26,1.049046146308386
2003-01-27,1.0008268558156488
2003-01-28,1.0145756858817714
2003-01-29,1.020148329255879
2003-01-30,0.9989087947476656
2003-01-31,0.9572058589966059
2003-02-01,0.9695963639781329
2003-02-02,1.103653649058347
2003-02-03,1.0635449084182007
2003-02-04,1.0372479988528436
2003-02-05,1.0118883264504666
2003-02-06,1.031402556209478
2003-02-07,0.995010703663937
2003-02-08,0.9573147887632469
2003-02-09,0.9932329713255869
2003-02-10,0.9764684293059946
2003-02-11,1.0102846180894798
2003-02-12,1.0260240385546
2003-02-13,1.0071316320053745
2003-02-14,0.9966110923784905
2003-02-15,0.9982551518023959
2003-02-16,1.0037878396444633
2003-02-17,1.0115533743391585
2003-02-18,1.0214100549917036
2003-02-19,0.9672162844519125
2003-02-20,0.9905582364965443
2003-02-21,0.9793130501047567
2003-02-22,0.9796492413751305
2003-02-23,1.0235886099745646
2003-02-24,0.9933199378177598
2003-02-25,0.9862642556194159
2003-02-26,1.0070375184590898
2003-02-27,0.9884390086007956
2003-02-28,0.9427131110493463
2003-03-01,0.9996259250627263
2003-03-02,1.0766377304031365
2003-03-03,1.0946477231128857
2003-03-04,1.0397432269082871
2003-03-05,1.0027094741716092
2003-03-06,1.0399741941233225
2003-03-07,1.0013138274450324
2003-03-08,0.9802175062669768
2003-03-09,1.0210253302688237
2003-03-10,1.05093481922463
2003-03-11,1.018295993477743
2003-03-12,0.9887421003927187
2003-03-13,1.0007635012937655
2003-03-14,0.9957891083084601
2003-03-15,0.9722965176834201
2003-03-16,0.9989576016473014
2003-03-17,1.047795757589469
2003-03-18,1.0277969485957354
2003-03-19,1.0313787970778416
2003-03-20,1.024559810635824
2003-03-21,1.0103586119647867
2003-03-22,0.986395840540936
2003-03-23,0.9679259774638903
2003-03-24,1.0236783624942911
2003-03-25,1.0464962703098253
2003-03-26,1.0179306283742047
2003-03-27,1.0261275828675929
2003-03-28,0.9668480841942327
2003-03-29,0.9952800272581961
2003-03-30,1.013547961475158
2003-03-31,1.0121121555356654
2003-04-01,0.9865367713073284
2003-04-02,1.0855684676592905
2003-04-03,1.0688729760650262
2003-04-04,0.9827940839063841
2003-04-05,0.9552056728489552
2003-04-06,1.0092341477866362
2003-04-07,1.0228492161639862
2003-04-08,1.021227041568135
2003-04-09,0.9905383947457579
2003-04-10,1.0056173954356644
2003-04-11,0.9588228961264909
2003-04-12,0.9532439224682353
2003-04-13,1.0078599681237304
2003-04-14,1.0127935036339155
2003-04-15,0.989945029116509
2003-04-16,1.0013309615250132
2003-04-17,1.0068139406091507
2003-04-18,1.0056703342467284
2003-04-19,0.9739854178996113
2003-04-20,1.0203596952827263
2003-04-21,1.0272738240018273
2003-04-22,1.0125151629522495
2003-04-23,1.0199882644497242
2003-04-24,1.0171347778410627
2003-04-25,0.9857945009192014
2003-04-26,1.0457128495594377
2003-04-27,0.9992120425676008
2003-04-28,1.0162140986056194
2003-04-29,0.9909661989399674
2003-04-30,0.9970213270318895
2003-05-01,0.9837453498564508
2003-05-02,1.048611771767022
2003-05-03,1.0263680933849604
2003-05-04,0.9882139931901315
2003-05-05,0.9724862692822073
2003-05-06,1.0064719927834729
2003-05-07,1.010596518426737
2003-05-08,1.0299227111461062
2003-05-09,1.0000805356567766
2003-05-10,0.9784664715011389
2003-05-11,0.9830844729371693
2003-05-12,0.9782080553716913
2003-05-13,1.002949930925184
2003-05-14,0.9574063802046874
2003-05-15,0.9530026688841355
2003-05-16,1.0067309602356684
2003-05-17,1.0174094258490831
2003-05-18,0.9950647471272486
2003-05-19,1.064512798492377
2003-05-20,1.0545567593004816
2003-05-21,1.0243872313863138
2003-05-22,1.055052859026186
2003-05-23,0.9994255141398088
2003-05-24,0.9417796343650886
2003-05-25,0.996199864364216
2003-05-26,1.050351510996093
2003-05-27,1.0268047934643625
2003-05-28,1.002745658039454
2003-05-29,0.9938370664388204
2003-05-30,0.9957286385347837
2003-05-31,0.9688752837960383
2003-06-01,0.9726759274599512
2003-06-02,1.059934376940599
2003-06-03,1.0750103713403616
2003-06-04,1.0046327349717308
2003-06-05,1.0096549571522726
2003-06-06,0.9514751732673882
2003-06-07,0.9298983776372435
2003-06-08,0.9523358281706742
2003-06-09,0.9402633751865336
2003-06-10,0.9314499440901586
2003-06-11,0.9478784289307595
2003-06-12,0.9558452262891995
2003-06-13,0.9797019244167418
2003-06-14,0.9281978583816357
2003-06-15,0.9763562651541099
2003-06-16,0.9911208618021641
2003-06-17,0.9676957693962891
2003-06-18,0.9513254749778525
2003-06-19,0.9749964054461543
2003-06-20,0.9411290680746389
2003-06-21,0.958680954260158
2003-06-22,0.954897299364431
2003-06-23,0.9948802974794012
2003-06-24,0.9866174688916064
2003-06-25,0.9986622333905418
