name,lon,lat
WARRANTS,-122.42441271506395,37.76800541638235
NON-CRIMINAL,-122.45307885567331,37.771061135607866
DRUG/NARCOTIC,-122.3901025495328,37.745884902677105
WARRANTS,-122.40933682184618,37.78483373155213
DISORDERLY CONDUCT,-122.50671446043356,37.73546576297297
OTHER OFFENSES,-122.50671446043356,37.73546576297297
WEAPON LAWS,-122.3901025495328,37.745884902677105
LARCENY/THEFT,-122.40801449292015,37.78595077676135
BRIBERY,-122.38308514461544,37.73175233873707
ASSAULT,-122.44094361224815,37.78177524047913
ASSAULT,-122.38308514461544,37.73175233873707
OTHER OFFENSES,-122.3901025495328,37.745884902677105
OTHER OFFENSES,-122.43501209378908,37.76176771829544
ASSAULT,-122.44146432325482,37.775970074219366
VANDALISM,-122.44146432325482,37.775970074219366
LIQUOR LAWS,-122.41013523637665,37.784188907526726
PROSTITUTION,-122.41041666403635,37.77272340136536
PROSTITUTION,-122.41041666403635,37.77272340136536
DRUG/NARCOTIC,-122.41259737718686,37.78393202772729
OTHER OFFENSES,-122.40826422821242,37.79221047062221
DRUG/NARCOTIC,-122.40826422821242,37.79221047062221
OTHER OFFENSES,-122.40826422821242,37.79221047062221
DRUG/NARCOTIC,-122.48598280009071,37.75286828143546
ASSAULT,-122.41512058933772,37.781758936640536
DRUG/NARCOTIC,-122.40697950796265,37.739566960911
SUSPICIOUS OCC,-122.41856209710514,37.78418470913026
TRESPASS,-122.50671446043356,37.73546576297297
ASSAULT,-122.41967178029562,37.76505012146682
OTHER OFFENSES,-122.43171008258426,37.761141881332705
WEAPON LAWS,-122.41259737718686,37.78393202772729
WARRANTS,-122.40510948540415,37.70885630767813
OTHER OFFENSES,-122.4115742309267,37.76161663973273
OTHER OFFENSES,-122.40510948540415,37.70885630767813
OTHER OFFENSES,-122.40510948540415,37.70885630767813
OTHER OFFENSES,-122.50926527685705,37.76307276872339
OTHER OFFENSES,-122.50926527685705,37.76307276872339
SUSPICIOUS OCC,-122.40933682184618,37.78483373155213
OTHER OFFENSES,-122.40891322980788,37.781211650766274
NON-CRIMINAL,-122.48598280009071,37.75286828143546
ROBBERY,-122.41041666403635,37.77272340136536
OTHER OFFENSES,-122.41378946723174,37.806552652983946
VANDALISM,-122.43195768519577,37.764935718967955
VANDALISM,-122.43195768519577,37.764935718967955
ASSAULT,-122.41316280209602,37.78708010052918
DRUG/NARCOTIC,-122.43171008258426,37.761141881332705
WARRANTS,-122.41856209710514,37.78418470913026
WARRANTS,-122.42321767391329,37.78640179541553
BURGLARY,-122.43120693207943,37.7845681170336
NON-CRIMINAL,-122.48598280009071,37.75286828143546
WEAPON LAWS,-122.43120693207943,37.7845681170336
OTHER OFFENSES,-122.43120693207943,37.7845681170336
NON-CRIMINAL,-122.43120693207943,37.7845681170336
OTHER OFFENSES,-122.47564746078615,37.72852806274646
ASSAULT,-122.43171008258426,37.761141881332705
ASSAULT,-122.4162211565082,37.7892672343725
WEAPON LAWS,-122.45307885567331,37.771061135607866
OTHER OFFENSES,-122.39324308123678,37.73261626975455
OTHER OFFENSES,-122.39324308123678,37.73261626975455
OTHER OFFENSES,-122.40242303251404,37.79938312200757
STOLEN PROPERTY,-122.47564746078615,37.72852806274646
OTHER OFFENSES,-122.41431785788087,37.77994440520465
WARRANTS,-122.41378946723174,37.806552652983946
WARRANTS,-122.41013523637665,37.784188907526726
DRUG/NARCOTIC,-122.48598280009071,37.75286828143546
OTHER OFFENSES,-122.41041666403635,37.77272340136536
WARRANTS,-122.38833555944305,37.719284994140345
OTHER OFFENSES,-122.40242303251404,37.79938312200757
OTHER OFFENSES,-122.43701984313276,37.72372426136671
VEHICLE THEFT,-122.39324308144634,37.73261626983358
"SEX OFFENSES, NON FORCIBLE",-122.44146432325482,37.775970074219366
SECONDARY CODES,-122.44146432325482,37.775970074219366
WARRANTS,-122.40933682184618,37.78483373155213
OTHER OFFENSES,-122.41945807315328,37.78449901979975
WEAPON LAWS,-122.41259737718686,37.78393202772729
OTHER OFFENSES,-122.41945807315328,37.78449901979975
OTHER OFFENSES,-122.41945807315328,37.78449901979975
DRUG/NARCOTIC,-122.41945807315328,37.78449901979975
DRUG/NARCOTIC,-122.41945807315328,37.78449901979975
ASSAULT,-122.40484784786696,37.795100652805246
WARRANTS,-122.4162938209353,37.77749367773503
OTHER OFFENSES,-122.50378677583937,37.759565237542546
ROBBERY,-122.46811749981516,37.73890001448449
DRUG/NARCOTIC,-122.41945807315328,37.78449901979975
ASSAULT,-122.4115742309267,37.76161663973273
SECONDARY CODES,-122.4115742309267,37.76161663973273
DRUNKENNESS,-122.40933682184618,37.78483373155213
OTHER OFFENSES,-122.43562737815516,37.76732734528833
WEAPON LAWS,-122.41259737718686,37.78393202772729
DRUG/NARCOTIC,-122.3901025495328,37.745884902677105
WEAPON LAWS,-122.3901025495328,37.745884902677105
RECOVERED VEHICLE,-122.3901025495328,37.745884902677105
DRUG/NARCOTIC,-122.41945807315328,37.78449901979975
OTHER OFFENSES,-122.37700207993551,37.731010976896
OTHER OFFENSES,-122.48971396912424,37.733949768085154
WARRANTS,-122.41626183683351,37.78537508463757
ASSAULT,-122.41453967353952,37.7395761096677
STOLEN PROPERTY,-122.41689153662243,37.8052112316081
WEAPON LAWS,-122.37700207993551,37.731010976896
WEAPON LAWS,-122.37700207993551,37.731010976896
DRUG/NARCOTIC,-122.41259737718686,37.78393202772729
"SEX OFFENSES, FORCIBLE",-122.42248728276827,37.78245513017124
WARRANTS,-122.4102935196898,37.78223058700358
ASSAULT,-122.42441271506395,37.76800541638235
OTHER OFFENSES,-122.40891322980788,37.781211650766274
OTHER OFFENSES,-122.42248728276827,37.78245513017124
ASSAULT,-122.42441271506395,37.76800541638235
DRUG/NARCOTIC,-122.40891322980788,37.781211650766274
VEHICLE THEFT,-122.4510577333256,37.76426320889549
LARCENY/THEFT,-122.48971396912424,37.733949768085154
WARRANTS,-122.40669059226074,37.785207191841934
LARCENY/THEFT,-122.40669059226074,37.785207191841934
WARRANTS,-122.41089332402744,37.79639488972242
WARRANTS,-122.41089332402744,37.79639488972242
BURGLARY,-122.41689153662243,37.8052112316081
OTHER OFFENSES,-122.41500053678577,37.7620990020681
OTHER OFFENSES,-122.41689153662243,37.8052112316081
OTHER OFFENSES,-122.41869832893869,37.77558941300509
ASSAULT,-122.40388723659159,37.76917148991495
WARRANTS,-122.37700207993551,37.731010976896
WEAPON LAWS,-122.41626183683351,37.78537508463757
LARCENY/THEFT,-122.47564746078615,37.72852806274646
OTHER OFFENSES,-122.47500300921295,37.72491207855804
BURGLARY,-122.44258037880728,37.7499584666104
WARRANTS,-122.43229983570549,37.770858435750384
BURGLARY,-122.44258037880728,37.7499584666104
DRUG/NARCOTIC,-122.41846774793112,37.78796525697965
OTHER OFFENSES,-122.41846774793112,37.78796525697965
ASSAULT,-122.42019129511986,37.783870392089746
ASSAULT,-122.47564746078615,37.72852806274646
ASSAULT,-122.36556542535305,37.80967070132394
OTHER OFFENSES,-122.40184636752176,37.77903241362508
OTHER OFFENSES,-122.41714480239858,37.7121502932531
WARRANTS,-122.41714480239858,37.7121502932531
OTHER OFFENSES,-122.40340479147905,37.775420706711
OTHER OFFENSES,-122.40340479147905,37.775420706711
NON-CRIMINAL,-122.41844818610123,37.75223916526247
VANDALISM,-122.42752815822996,37.78687086545011
OTHER OFFENSES,-122.42752815822996,37.78687086545011
NON-CRIMINAL,-122.47564746078615,37.72852806274646
LARCENY/THEFT,-122.47564746078615,37.72852806274646
WARRANTS,-122.43229983570549,37.770858435750384
WARRANTS,-122.43229983570549,37.770858435750384
BURGLARY,-122.42752815822996,37.78687086545011
OTHER OFFENSES,-122.43362342174571,37.726235830472156
OTHER OFFENSES,-122.44553734203959,37.77114175542071
WARRANTS,-122.41762232101001,37.78377623856839
NON-CRIMINAL,-122.44835376464896,37.78445985476583
NON-CRIMINAL,-122.42019129511986,37.783870392089746
DRUNKENNESS,-122.44835376464896,37.78445985476583
OTHER OFFENSES,-122.40184636752176,37.77903241362508
OTHER OFFENSES,-122.43362342174571,37.726235830472156
ROBBERY,-122.41360932898488,37.784696907903964
LARCENY/THEFT,-122.40158837999071,37.7910139283214
DRUG/NARCOTIC,-122.41550824278185,37.78165428060756
DRUG/NARCOTIC,-122.41316313427592,37.77499264453848
WARRANTS,-122.5102257490522,37.767244220961615
WARRANTS,-122.41379841586895,37.78562979423735
OTHER OFFENSES,-122.40143275472195,37.80045664710391
OTHER OFFENSES,-122.43229983570549,37.770858435750384
STOLEN PROPERTY,-122.43229983570549,37.770858435750384
OTHER OFFENSES,-122.43229983570549,37.770858435750384
ASSAULT,-122.43229983570549,37.770858435750384
DRUG/NARCOTIC,-122.42007416053026,37.79165218650638
OTHER OFFENSES,-122.40714930465734,37.806426731678975
OTHER OFFENSES,-122.45318992389228,37.77685244563183
DRUG/NARCOTIC,-122.41316313427592,37.77499264453848
OTHER OFFENSES,-122.40143275472195,37.80045664710391
FRAUD,-122.41431785788087,37.77994440520465
LARCENY/THEFT,-122.41431785788087,37.77994440520465
OTHER OFFENSES,-122.41431785788087,37.77994440520465
VANDALISM,-122.40801470384251,37.796699717573006
OTHER OFFENSES,-122.40665710243755,37.79602395759873
LARCENY/THEFT,-122.40589536988726,37.78673421849833
WEAPON LAWS,-122.37598915809185,37.7301576924252
DRUG/NARCOTIC,-122.43362342174571,37.726235830472156
OTHER OFFENSES,-122.43362342174571,37.726235830472156
OTHER OFFENSES,-122.43362342174571,37.726235830472156
WARRANTS,-122.43362342174571,37.726235830472156
SUSPICIOUS OCC,-122.40458662986923,37.71544327871366
OTHER OFFENSES,-122.43362342174571,37.726235830472156
DRUG/NARCOTIC,-122.41809076669236,37.786100745164475
DRIVING UNDER THE INFLUENCE,-122.41583886146799,37.748687119609386
SECONDARY CODES,-122.41550824278185,37.78165428060756
DRUG/NARCOTIC,-122.42330463554804,37.722669446300344
